"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","ensembl_id"
"ENSG00000115461",121912.58,-8.024,0.257517139141827,-31.1600441703631,3.70800199092013e-213,0,"IGFBP5","ENSG00000115461"
"ENSG00000116183",19506.72,-9.048,0.335801093004147,-26.9456592461857,6.41316323174118e-160,0,"PAPPA2","ENSG00000116183"
"ENSG00000184347",14612.72,-7.668,0.294121476797462,-26.069391771102,8.11043083305428e-150,0,"SLIT3","ENSG00000184347"
"ENSG00000120708",93632.44,-7.581,0.305358238455166,-24.8274479644374,4.53184652335384e-136,0,"TGFBI","ENSG00000120708"
"ENSG00000120094",3091.04,7.744,0.330308287461906,23.4444168877305,1.50714894105574e-121,0,"HOXB1","ENSG00000120094"
"ENSG00000095596",9740.57,8.341,0.362136587852244,23.0338643358364,2.13479346904908e-117,0,"CYP26A1","ENSG00000095596"
"ENSG00000026025",9798.05,-5.749,0.250693392631715,-22.9332977572459,2.16306046609022e-116,0,"VIM","ENSG00000026025"
"ENSG00000149294",2362.59,6.375,0.280101635677561,22.7582818266132,1.18810878580924e-114,0,"NCAM1","ENSG00000149294"
"ENSG00000174469",7308.06,-5.08,0.230407713461884,-22.0464970206046,1.03210200125895e-107,0,"CNTNAP2","ENSG00000174469"
"ENSG00000183160",2161.63,-8.073,0.367506612382218,-21.9661672969768,6.06779613065383e-107,0,"TMEM119","ENSG00000183160"
"ENSG00000159251",73024.33,-6.663,0.305169121774074,-21.8338997662283,1.10572732502938e-105,0,"ACTC1","ENSG00000159251"
"ENSG00000152377",4408.5,-7.89,0.380574317989717,-20.7308082966954,1.82695707912149e-95,0,"SPOCK1","ENSG00000152377"
"ENSG00000164794",1268.12,7.935,0.385494498870678,20.5839192929731,3.82471554934618e-94,0,"KCNV1","ENSG00000164794"
"ENSG00000104415",2482.95,-8.09,0.393353780887884,-20.5658837697642,5.54798998892388e-94,0,"CCN4","ENSG00000104415"
"ENSG00000157851",1625.96,6.968,0.341538150661917,20.4013191109019,1.62765212330354e-92,0,"DPYSL5","ENSG00000157851"
"ENSG00000134954",5281.76,-6.122,0.300784414086607,-20.3541847353111,4.26282973901554e-92,0,"ETS1","ENSG00000134954"
"ENSG00000177494",1073.42,-6.839,0.341494336838485,-20.0279697977946,3.14208739525252e-89,0,"ZBED2","ENSG00000177494"
"ENSG00000163453",4995.46,-4.927,0.251965889881125,-19.5558999467568,3.67464011860542e-85,0,"IGFBP7","ENSG00000163453"
"ENSG00000154654",594.72,6.858,0.354181450980871,19.3616908147513,1.62464503817572e-83,0,"NCAM2","ENSG00000154654"
"ENSG00000163132",2712.85,5.713,0.296104964285936,19.2931282026972,6.13466653878312e-83,0,"MSX1","ENSG00000163132"
"ENSG00000019549",4019.06,-7.205,0.373611263395234,-19.2839313070835,7.32889383018412e-83,0,"SNAI2","ENSG00000019549"
"ENSG00000171631",4895.3,-6.33,0.330378176565869,-19.1594549166582,8.07140637675859e-82,0,"P2RY6","ENSG00000171631"
"ENSG00000151388",4402.18,-4.108,0.219529245585805,-18.7112148772278,4.01126079580596e-78,0,"ADAMTS12","ENSG00000151388"
"ENSG00000149451",1406.55,-5.21,0.281346508043399,-18.5179308878893,1.48017275355904e-76,0,"ADAM33","ENSG00000149451"
"ENSG00000031081",3763.07,-4.584,0.248110726169206,-18.4736549494423,3.36509919005254e-76,0,"ARHGAP31","ENSG00000031081"
"ENSG00000115594",3920.29,-5.773,0.317068954161512,-18.208674621464,4.40481390856046e-74,0,"IL1R1","ENSG00000115594"
"ENSG00000003137",2928.42,5.365,0.295113030875734,18.1778517360285,7.73032562534793e-74,0,"CYP26B1","ENSG00000003137"
"ENSG00000146674",110131.22,-4.101,0.226535719197703,-18.1011891413595,3.1186168013974e-73,0,"IGFBP3","ENSG00000146674"
"ENSG00000213694",2335.35,-5.115,0.286622889762427,-17.8440511470387,3.21517914816553e-71,0,"S1PR3","ENSG00000213694"
"ENSG00000018625",654.66,6.28,0.352562753484273,17.8127452314399,5.6280469810741e-71,0,"ATP1A2","ENSG00000018625"
"ENSG00000145703",5593.05,6.387,0.358515331582725,17.81392622377,5.51052107307197e-71,0,"IQGAP2","ENSG00000145703"
"ENSG00000164932",2720.02,-4.863,0.273299477932709,-17.7921620572034,8.12822446894576e-71,0,"CTHRC1","ENSG00000164932"
"ENSG00000040731",1232.16,-4.678,0.263180648760139,-17.7756273519638,1.09169642518226e-70,0,"CDH10","ENSG00000040731"
"ENSG00000176406",6513.37,-5.184,0.291942224071757,-17.7557881602374,1.55472684552322e-70,0,"RIMS2","ENSG00000176406"
"ENSG00000170214",935.95,-5.474,0.308598875074095,-17.7376329577068,2.14794509407884e-70,0,"ADRA1B","ENSG00000170214"
"ENSG00000145721",2073.3,-5.762,0.330049432980757,-17.4570500588582,3.04255648201362e-68,0,"LIX1","ENSG00000145721"
"ENSG00000184261",1281.19,-5.979,0.345146865085345,-17.3216766058294,3.22813767565425e-67,0,"KCNK12","ENSG00000184261"
"ENSG00000118432",424.65,7.043,0.407925289557084,17.2662305768065,8.44835255820028e-67,0,"CNR1","ENSG00000118432"
"ENSG00000169946",403.65,6.299,0.367139621815371,17.1566616422948,5.60438864027367e-66,0,"ZFPM2","ENSG00000169946"
"ENSG00000146250",2396.32,5.967,0.35060660285058,17.0178946320328,6.05074738695344e-65,0,"PRSS35","ENSG00000146250"
"ENSG00000178568",408.37,5.138,0.302846690322247,16.9670211214414,1.44056614836457e-64,0,"ERBB4","ENSG00000178568"
"ENSG00000171056",755.84,-5,0.295682830271237,-16.9107349260196,3.75002057944582e-64,0,"SOX7","ENSG00000171056"
"ENSG00000223749",1219.28,-5.434,0.325044455032241,-16.7187620558388,9.56862434317979e-63,0,NA,"ENSG00000223749"
"ENSG00000143816",1106.39,-4.724,0.283279497025857,-16.6767446258072,1.93479167009135e-62,0,"WNT9A","ENSG00000143816"
"ENSG00000183770",580.53,-5.911,0.358108900646744,-16.5054527470354,3.35209577192366e-61,0,"FOXL2","ENSG00000183770"
"ENSG00000172548",828.97,-5.283,0.323841628526397,-16.3122402672395,8.07751058528955e-60,0,"NIPAL4","ENSG00000172548"
"ENSG00000102755",680.31,-4.532,0.27887180055443,-16.2529670022538,2.12811166566167e-59,0,"FLT1","ENSG00000102755"
"ENSG00000249992",782.85,-4.42,0.273729636312802,-16.1479746119189,1.17352082285188e-58,0,"TMEM158","ENSG00000249992"
"ENSG00000120075",394.25,7.13,0.441539611943008,16.1480827150193,1.17146626753215e-58,0,"HOXB5","ENSG00000120075"
"ENSG00000120318",1152.05,-4.815,0.299479262647347,-16.0785863138806,3.60512096050398e-58,0,"ARAP3","ENSG00000120318"
"ENSG00000104419",3695.2,-4.229,0.263138715614627,-16.0700240296711,4.13925871134443e-58,0,"NDRG1","ENSG00000104419"
"ENSG00000248265",426.74,5.974,0.372308379381716,16.0455132380599,6.14488565263883e-58,0,"FLJ12825","ENSG00000248265"
"ENSG00000133110",375.39,6.586,0.410570102503931,16.0419223589748,6.51074114898209e-58,0,"POSTN","ENSG00000133110"
"ENSG00000065534",6177.03,-4.109,0.256289327070191,-16.0315641661593,7.6921932588073e-58,0,"MYLK","ENSG00000065534"
"ENSG00000233429",751.12,5.837,0.364408882672486,16.0184725491046,9.49542460746394e-58,0,"HOTAIRM1","ENSG00000233429"
"ENSG00000101017",972.37,-6.448,0.403096061941502,-15.9967871826818,1.34541242975129e-57,0,"CD40","ENSG00000101017"
"ENSG00000131981",3320.75,-4.929,0.308759885564705,-15.9629959900634,2.31353940307439e-57,0,"LGALS3","ENSG00000131981"
"ENSG00000206262",546.36,-5.973,0.374816066414777,-15.9346128789811,3.64450721913494e-57,0,"FOXL2NB","ENSG00000206262"
"ENSG00000115593",1450.85,-9.134,0.574666691260181,-15.8951891237597,6.84216567175698e-57,0,"SMYD1","ENSG00000115593"
"ENSG00000140807",1132.51,5.786,0.364006573131187,15.8961007721213,6.74334541852205e-57,0,"NKD1","ENSG00000140807"
"ENSG00000078081",619.54,7.169,0.452192906825678,15.8532423772563,1.33510880416745e-56,0,"LAMP3","ENSG00000078081"
"ENSG00000173905",8718.95,3.279,0.206925581445896,15.8479689763717,1.45198194907879e-56,0,"GOLIM4","ENSG00000173905"
"ENSG00000140682",545.15,-5.064,0.320054837226923,-15.8230399424455,2.15815836619742e-56,0,"TGFB1I1","ENSG00000140682"
"ENSG00000203867",699.89,4.39,0.278522079740087,15.7623165380681,5.65225874853221e-56,0,"RBM20","ENSG00000203867"
"ENSG00000143248",5071.28,6.242,0.396057647819747,15.7594109459538,5.91820258123406e-56,0,"RGS5","ENSG00000143248"
"ENSG00000173210",582.01,-6.297,0.40079728603893,-15.712006394505,1.25154726264118e-55,0,"ABLIM3","ENSG00000173210"
"ENSG00000124813",792.62,-5.398,0.343589171677109,-15.7093709029169,1.30467295832352e-55,0,"RUNX2","ENSG00000124813"
"ENSG00000107562",10356.37,-4.951,0.317411315120927,-15.5983316602863,7.47213588789599e-55,0,"CXCL12","ENSG00000107562"
"ENSG00000134258",17328.69,-6.757,0.435014313158896,-15.5322544004312,2.09870090597989e-54,0,"VTCN1","ENSG00000134258"
"ENSG00000085563",513.97,7.914,0.509686895125496,15.527958915634,2.2440947657762e-54,0,"ABCB1","ENSG00000085563"
"ENSG00000099953",3255.55,4.328,0.280218560907063,15.4459326216944,8.03568463753228e-54,0,"MMP11","ENSG00000099953"
"ENSG00000116962",2449.34,-3.514,0.22751684463585,-15.4449764442762,8.15574180853887e-54,0,"NID1","ENSG00000116962"
"ENSG00000163359",4926.85,-4.728,0.306753297335323,-15.4117846026969,1.36392572980018e-53,0,"COL6A3","ENSG00000163359"
"ENSG00000204248",529.55,4.716,0.307770241144169,15.3226937755254,5.39351083886608e-53,0,"COL11A2","ENSG00000204248"
"ENSG00000152578",1688.16,11.634,0.763536580694428,15.2366767229,2.01880797618721e-52,0,"GRIA4","ENSG00000152578"
"ENSG00000165621",1114.35,-4.621,0.304104091747086,-15.1950236205149,3.81526040872025e-52,0,"OXGR1","ENSG00000165621"
"ENSG00000006283",548.24,8.411,0.553537068122716,15.1956379597142,3.7796588248986e-52,0,"CACNA1G","ENSG00000006283"
"ENSG00000145864",534.04,9.16,0.605761174677965,15.1211137384358,1.17537741720768e-51,0,"GABRB2","ENSG00000145864"
"ENSG00000124143",802.22,-6.084,0.402379673373697,-15.1211679873634,1.17440946651938e-51,0,"ARHGAP40","ENSG00000124143"
"ENSG00000011677",236.5,5.802,0.384613315376642,15.0849849440952,2.03321013260089e-51,0,"GABRA3","ENSG00000011677"
"ENSG00000128422",676.46,-5.584,0.371387815424086,-15.0365457611233,4.23056501760602e-51,0,"KRT17","ENSG00000128422"
